﻿Ranking,Title,Rating,Director,Actors,Duration,Relaese Time,Type,Making Area,Cumulative_income(ten thousand unit),Movie Information
﻿58,蝴蝶效应,8.7,埃里克·布雷斯,"约翰·帕特里克·阿梅多利,罗根·勒曼,卡梅隆·布莱特",113分钟,2004-01-23(美国),"['剧情', '科幻', '悬疑', '惊悚']","美国,加拿大",,http://maoyan.com/films/1368
﻿59,低俗小说,8.7,昆汀·塔伦蒂诺,"约翰·特拉沃尔塔,乌玛·瑟曼,塞缪尔·杰克逊",154分钟,1994-05-21(法国),"['剧情', '喜剧', '犯罪']",美国,,http://maoyan.com/films/1239
﻿60,罗马假日,9.1,威廉·惠勒,"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",118分钟,1953-08-20(意大利),"['剧情', '喜剧', '爱情']",美国,,http://maoyan.com/films/2641
﻿61,菊次郎的夏天,8.8,北野武,"北野武,关口雄介,岸本 加世子",120分钟,2020-09-25,"['剧情', '喜剧']",日本,906,http://maoyan.com/films/2212
﻿62,飞屋环游记,8.8,彼特·道格特,"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",96分钟,2009-08-04,"['剧情', '喜剧', '动画', '冒险']",美国,7906,http://maoyan.com/films/614
﻿63,布达佩斯大饭店,8.7,韦斯·安德森,"拉尔夫·费因斯,托尼·雷沃罗利,西尔莎·罗南",100分钟,2014-06-14,"['剧情', '喜剧', '冒险']","美国,德国,英国",,http://maoyan.com/films/78449
﻿64,复仇者联盟4：终局之战,9.1,乔·罗素,"小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛",181分钟,2019-04-24,"['动作', '冒险', '奇幻']",美国,425013,http://maoyan.com/films/248172
﻿65,七宗罪,8.7,大卫·芬奇,"布拉德·皮特,摩根·弗里曼,格温妮斯·帕特洛",127分钟,1995-09-22(美国),"['剧情', '悬疑', '惊悚', '犯罪']",美国,,http://maoyan.com/films/1321
﻿66,春光乍泄,9.2,王家卫,"张国荣,梁朝伟,张震",96分钟,1997-05-30(中国香港),['剧情'],"中国香港,日本,韩国",,http://maoyan.com/films/1597
﻿67,消失的爱人,8.7,大卫·芬奇,"本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯",149分钟,2014-09-26(美国),"['剧情', '悬疑', '惊悚', '犯罪']",美国,,http://maoyan.com/films/78997
